Country,Total Case,New Case,Total Death,New Death,Total Recovered,New Recovered,Active Cases,Serious,Population
USA,"103,151,843",,"1,121,725                                ",,"100,061,532",,"1,968,586","4,815","334,805,269 "
India,"44,681,523",,"530,722                                ",,"44,147,322",,"3,479",698,"1,406,631,776 "
France,"39,421,144",,"163,105                                ",,"38,862,625",,"395,414",869,"65,584,518 "
Germany,"37,562,191",,"163,244                                ",,"36,946,600","+40,900","452,347","1,281","83,883,596 "
Brazil,"36,560,497",,"695,031                                ",,"35,429,017",,"436,449","8,318","215,353,593 "
Japan,"30,647,859",,"60,411                                ",,"21,271,832",,"9,315,616",656,"125,584,838 "
S. Korea,"29,654,090","+54,343","32,745                                ",76.0,"28,567,938","+66,005","1,053,407",540,"51,329,899 "
Italy,"25,279,682",,"185,417                                ",,"24,688,083",,"406,182",319,"60,262,770 "
UK,"24,210,131",,"201,028                                ",,"23,895,374","+6,508","113,729",146,"68,497,907 "
Russia,"21,832,768",,"394,168                                ",,"21,253,611",,"184,989","2,300","145,805,947 "
Turkey,"17,042,722",,"101,492                                ",,,,,,"85,561,976 "
Spain,"13,693,478",,"117,413                                ",,"13,502,806",,"73,259",231,"46,719,142 "
Vietnam,"11,525,911",,"43,186                                ",,"10,611,547",,"871,178",12,"98,953,541 "
Australia,"11,211,305","+1,150","17,380                                ",31.0,"11,052,693",,"141,232",109,"26,068,792 "
Argentina,"10,004,679",,"130,249                                ",,"9,707,830","+8,843","166,600",402,"46,010,234 "
Taiwan,"9,123,185","+25,643","15,654                                ",46.0,"8,628,935","+19,853","478,596",,"23,888,595 "
Netherlands,"8,576,523",,"22,989                                ",,"8,528,649",,"24,885",55,"17,211,447 "
Iran,"7,562,169",,"144,717                                ",,"7,336,524",,"80,928",167,"86,022,837 "
Mexico,"7,284,502",,"331,333                                ",,"6,519,926",,"433,243","4,798","131,562,772 "
Indonesia,"6,724,281",,"160,697                                ",,"6,555,664",,"7,920","2,771","279,134,505 "
Poland,"6,371,866",,"118,601                                ",,"5,335,940",,"917,325","1,192","37,739,785 "
Colombia,"6,349,971",,"142,259                                ",,"6,170,360",,"37,352",342,"51,512,762 "
Austria,"5,731,160",,"21,517                                ",,"5,680,255",,"29,388",,"9,066,710 "
Portugal,"5,557,941",,"25,805                                ",,"5,525,559",,"6,577",61,"10,140,570 "
Greece,"5,548,487",,"34,779                                ",,"5,513,708",,0,115,"10,316,637 "
Ukraine,"5,361,352",,"110,859                                ",,"5,243,879",+623,"6,614",,"43,192,122 "
Chile,"5,071,034",,"63,381                                ",,"5,000,039",,"7,614",113,"19,250,195 "
Malaysia,"5,031,076",,"36,892                                ",,"4,982,772",,"11,412",26,"33,181,072 "
DPRK,"4,772,813",,74                                ,,"4,772,739",,0,,"25,990,679 "
Israel,"4,772,755",,"12,101                                ",,"4,750,133",,"10,521",57,"9,326,000 "
Thailand,"4,724,916",,"33,727                                ",,"4,690,108",,"1,081","1,496","70,078,203 "
Belgium,"4,682,234",,"33,395                                ",,"4,619,471","+1,608","29,368",97,"11,668,278 "
Czechia,"4,583,646",,"42,220                                ",,"4,536,834",,"4,592",42,"10,736,784 "
Canada,"4,508,275",,"49,566                                ",,"4,393,634","+2,361","65,075",99,"38,388,419 "
Peru,"4,470,919",,"218,414                                ",,"4,232,661",,"19,844",101,"33,684,208 "
Switzerland,"4,382,359",,"14,388                                ",,"4,334,688","+1,242","33,283",63,"8,773,637 "
Philippines,"4,068,425",,"65,498                                ",,"3,991,071",,"11,856",162,"112,508,994 "
South Africa,"4,050,288",,"102,568                                ",,"3,912,506",,"35,214",192,"60,756,135 "
Romania,"3,316,192",,"67,460                                ",,"3,241,020","+3,432","7,712",109,"19,031,335 "
Denmark,"3,170,881",,"7,941                                ",,"3,156,224",,"6,716",14,"5,834,950 "
Hong Kong,"2,790,960",,"12,481                                ",,"2,155,003",,"623,476",47,"7,604,299 "
Sweden,"2,683,356",,"22,110                                ",,"2,623,235",+544,"38,011",43,"10,218,971 "
Iraq,"2,465,545",,"25,375                                ",,"2,439,497",,673,21,"42,164,965 "
Serbia,"2,455,236",,"17,574                                ",,"2,421,479",,"16,183",23,"8,653,016 "
Singapore,"2,209,511",,"1,714                                ",,"2,135,949",,"71,848",2,"5,943,546 "
Hungary,"2,188,737",,"48,546                                ",,"2,127,121",,"13,070",16,"9,606,259 "
New Zealand,"2,138,754",,"3,621                                ",,"2,114,718",,"20,415",,"4,898,203 "
Bangladesh,"2,037,305",,"29,440                                ",,"1,988,846",,"19,019","1,331","167,885,689 "
Slovakia,"1,859,788",,"20,855                                ",,"1,837,892",,"1,041",28,"5,460,193 "
Georgia,"1,809,359",,"16,899                                ",,"1,776,548",,"15,912",,"3,968,738 "
Jordan,"1,746,997",,"14,122                                ",,"1,731,007",,"1,868",59,"10,300,869 "
Ireland,"1,693,847",,"8,339                                ",,"1,675,433",+53,"10,075",36,"5,020,199 "
Pakistan,"1,575,992",+15,"30,639                                ",,"1,538,689",,"6,664",17,"229,488,994 "
Norway,"1,476,541",,"4,571                                ",,"1,469,346",,"2,624",20,"5,511,370 "
Finland,"1,446,397",,"8,263                                ",,"1,425,662","+1,317","12,472",21,"5,554,960 "
Kazakhstan,"1,404,504",+175,"13,695                                ",,"1,383,020",,"7,789",24,"19,205,043 "
Slovenia,"1,315,101",,"7,029                                ",,"1,294,252",,"13,820",21,"2,078,034 "
Bulgaria,"1,293,684",,"38,130                                ",,"1,251,436",,"4,118",41,"6,844,597 "
Lithuania,"1,291,464",,"9,505                                ",,"1,275,308",,"6,651",8,"2,661,708 "
Morocco,"1,271,942",,"16,295                                ",,"1,255,319",,328,293,"37,772,756 "
Croatia,"1,265,719",,"17,719                                ",,"1,246,601",,"1,399",29,"4,059,286 "
Lebanon,"1,224,238",,"10,756                                ",,"1,087,587",,"125,895",74,"6,684,849 "
Guatemala,"1,213,139",,"20,027                                ",,"1,179,448",,"13,664",5,"18,584,039 "
Bolivia,"1,174,694","+1,555","22,324                                ",1.0,"1,123,744","+1,249","28,626",220,"11,992,656 "
Costa Rica,"1,171,802",,"9,104                                ",,"860,711",,"301,987",52,"5,182,354 "
Tunisia,"1,147,729",,"29,288                                ",,,,,44,"12,046,656 "
Cuba,"1,112,197",,"8,530                                ",,"1,103,508",,159,23,"11,305,652 "
UAE,"1,047,694",,"2,348                                ",,"1,030,711",,"14,635",,"10,081,785 "
Ecuador,"1,040,463",,"35,940                                ",,"1,003,412","+1,110","1,111",759,"18,113,361 "
Panama,"1,027,247",,"8,584                                ",,"1,016,577",,"2,086",16,"4,446,964 "
Uruguay,"1,025,810",,"7,586                                ",,"1,013,059",,"5,165",18,"3,496,016 "
Mongolia,"1,007,787",,"2,179                                ",,"1,005,087",,521,192,"3,378,078 "
Nepal,"1,001,031",,"12,020                                ",,"988,986",,25,,"30,225,582 "
Belarus,"994,037",,"7,118                                ",,"985,592",,"1,327",,"9,432,800 "
Latvia,"974,744",,"6,181                                ",,"966,958",,"1,605",13,"1,848,837 "
Saudi Arabia,"827,275",,"9,534                                ",,"814,911",,"2,830",25,"35,844,909 "
Azerbaijan,"826,993",,"10,027                                ",,"816,434",,532,,"10,300,205 "
Paraguay,"798,231",,"19,716                                ",,,,,7,"7,305,843 "
Bahrain,"699,313",,"1,539                                ",,"697,225",,549,"2,405","1,783,983 "
Sri Lanka,"671,942",,"16,820                                ",,"655,081",,41,,"21,575,842 "
Kuwait,"662,747",,"2,570                                ",,"660,095",,82,,"4,380,326 "
Dominican Republic,"650,990",,"4,384                                ",,"644,785",,"1,821",4,"11,056,370 "
Cyprus,"634,709",,"1,262                                ",,"624,300",,"9,147",60,"1,223,387 "
Myanmar,"633,726",,"19,490                                ",,"614,165",,71,,"55,227,143 "
Palestine,"621,008",,"5,404                                ",,"615,445",,159,17,"5,345,541 "
Estonia,"612,829",,"2,885                                ",,"524,990",,"84,954",9,"1,321,910 "
Moldova,"597,216",,"11,940                                ",,"504,142",,"81,134",49,"4,013,171 "
Venezuela,"550,779",,"5,834                                ",,"544,198",,747,36,"29,266,991 "
Egypt,"515,645",,"24,613                                ",,"442,182",,"48,850",122,"106,156,692 "
Libya,"507,153",,"6,437                                ",,"500,675",,41,,"7,040,745 "
Ethiopia,"498,832",,"7,572                                ",,"483,654",,"7,606",,"120,812,698 "
Qatar,"490,946",,685                                ,,"489,705",,556,1,"2,979,915 "
Réunion,"480,501",,907                                ,,"418,572",,"61,022",10,"908,061 "
Honduras,"468,048",,"11,088                                ",,,,,105,"10,221,247 "
Armenia,"445,976",,"8,716                                ",,"435,162",,"2,098",,"2,971,966 "
Bosnia and Herzegovina,"401,125",,"16,239                                ",,"378,880",,"6,006",,"3,249,317 "
Oman,"399,154",,"4,260                                ",,"384,669",,"10,225",2,"5,323,993 "
North Macedonia,"346,095",,"9,623                                ",,"336,215",,257,,"2,081,304 "
Kenya,"342,617",,"5,688                                ",,"336,811",,118,1,"56,215,221 "
Zambia,"335,980",,"4,030                                ",,"330,635",,"1,315",,"19,470,234 "
Albania,"333,995",,"3,595                                ",,"328,719",,"1,681",,"2,866,374 "
Botswana,"328,230",,"2,795                                ",,"323,747",,"1,688",1,"2,441,162 "
Luxembourg,"297,757",,"1,133                                ",,"288,991",,"7,633",,"642,371 "
Montenegro,"285,247",,"2,792                                ",,"281,969",,486,6,"627,950 "
Algeria,"271,262",,"6,881                                ",,"182,671",,"81,710",,"45,350,148 "
Brunei ,"270,199",,225                                ,,"243,601",,"26,373",3,"445,431 "
Nigeria,"266,463",,"3,155                                ",,"259,850",,"3,458",11,"216,746,934 "
Zimbabwe,"259,981",,"5,637                                ",,"253,677",,667,12,"15,331,428 "
Uzbekistan,"250,066",,"1,637                                ",,"241,486",,"6,943",23,"34,382,084 "
Mozambique,"231,219",,"2,232                                ",,"228,801",,186,11,"33,089,461 "
Martinique,"228,171",,"1,085                                ",,,,,8,"374,087 "
Laos,"217,901",+14,758                                ,,,,,,"7,481,023 "
Iceland,"208,459",,229                                ,,,,,2,"345,393 "
Afghanistan,"207,866",,"7,854                                ",,"185,747",,"14,265","1,124","40,754,388 "
Kyrgyzstan,"206,586",,"2,991                                ",,"196,406",,"7,189",131,"6,728,271 "
El Salvador,"201,785",,"4,230                                ",,"179,410",,"18,145",8,"6,550,389 "
Guadeloupe,"200,965",,"1,003                                ",,,,,19,"399,794 "
Trinidad and Tobago,"186,685",,"4,297                                ",,"182,182",,206,8,"1,406,585 "
